timestamp,facility_nr,collateral_agreement_type,collateral_agreement_id,collateral_amount_hke,haircut,post_haircut_coll_amt,post_ccf_base_amt_fac_level,allocated_collateral_amount
20251124_180702,CLS:1000255764,P003,CLS:180000000000000003151842:4:1,2731431.0,0.4,1638858.5999999999,1140000.0,1638858.5999999999
20251124_180702,CLS:1000255764,G007,CLS:180000000000000003151842:5:0,99999999999.0,0.9,9999999999.899998,1140000.0,9999999999.899998
20251124_180702,CLS:0001468380,P001,CLS:180000000000000001029219:1:1,29652915.0,0.4,17791749.0,3261686.73,17791749.0
20251124_180702,CLS:0001468380,G007,CLS:180000000000000001029219:2:0,99999999999.0,0.9,9999999999.899998,3261686.73,9999999999.899998
20251124_180702,CLS:0001710052,P001,CLS:180000000000000001047359:1:1,3974436.0,0.4,2384661.6,1490034.2,2384661.6
20251124_180702,CLS:0001713177,P002,CLS:180000000000000001047563:2:1,1200980.0,0.4,720588.0,401699.0,720588.0
20251124_180702,CLS:0001713177,G007,CLS:180000000000000001047563:1:0,99999999999.0,0.9,9999999999.899998,401699.0,9999999999.899998
20251124_180702,CLS:0001714281,P001,CLS:180000000000000001047564:1:1,2981838.0,0.4,1789102.8,1937445.31,1789102.8
20251124_180702,CLS:0001708479,P001,CLS:180000000000000001047331:1:1,3104529.0,0.4,1862717.4,1826710.5,1862717.4
20251124_180702,CLS:0001660805,P001,CLS:180000000000000001042549:1:1,7905958.0,0.4,4743574.8,1948189.78,4743574.8
20251124_180702,CLS:0001316847,G007,CLS:180000000000000001499346:31:0,99999999999.0,0.9,9999999999.899998,16426875.135,9999999999.899998
20251124_180702,CLS:0001316847,P003,CLS:180000000000000001499346:29:1,4997713.0,0.4,2998627.8,16426875.135,2998627.8
20251124_180702,CLS:0001316847,G007,CLS:180000000000000001499346:1:0,99999999999.0,0.9,9999999999.899998,16426875.135,9999999999.899998
20251124_180702,CLS:0001316847,P003,CLS:180000000000000001499346:5:1,30894956.0,0.4,18536973.599999998,16426875.135,18536973.599999998
20251124_180702,CLS:0001316847,P003,CLS:180000000000000001499346:43:1,2089952.0,0.4,1253971.2,16426875.135,1253971.2
20251124_180702,CLS:0001316847,P003,CLS:180000000000000001499346:41:1,6088123.0,0.4,3652873.8,16426875.135,3652873.8
20251124_180702,CLS:0001316847,P003,CLS:180000000000000001499346:13:1,11812777.0,0.4,7087666.2,16426875.135,7087666.2
20251124_180702,CLS:0001316847,P003,CLS:180000000000000001499346:4:1,47251109.0,0.4,28350665.4,16426875.135,28350665.4
20251124_180702,CLS:0001316847,P003,CLS:180000000000000001499346:9:1,33752632.0,0.4,20251579.2,16426875.135,20251579.2
20251124_180702,CLS:0001316847,P003,CLS:180000000000000001499346:15:1,9003824.0,0.4,5402294.399999999,16426875.135,5402294.399999999
20251124_180702,CLS:0001316847,P003,CLS:180000000000000001499346:6:1,5724653.0,0.4,3434791.8,16426875.135,3434791.8
20251124_180702,CLS:0001316847,G007,CLS:180000000000000001499346:12:0,99999999999.0,0.9,9999999999.899998,16426875.135,9999999999.899998
20251124_180702,CLS:0001316847,G007,CLS:180000000000000001499346:16:0,99999999999.0,0.9,9999999999.899998,16426875.135,9999999999.899998
20251124_180702,CLS:0001316847,P003,CLS:180000000000000001499346:8:1,13084922.0,0.4,7850953.199999999,16426875.135,7850953.199999999
20251124_180702,CLS:0001316847,P003,CLS:180000000000000001499346:11:1,13630127.0,0.4,8178076.199999999,16426875.135,8178076.199999999
20251124_180702,CLS:1000029552,T002,CLS:180000000000000003098730:1:0,7765892.578588963,0.0,7765892.578588963,,7765892.578588963
20251124_180702,CLS:1000676837,P001,CLS:180000000000000001032214:2:1,6596998.0,0.4,3958198.8,795687.38,3958198.8
20251124_180702,CLS:1000044159,P001,CLS:180000000000000003102175:1:1,43000000.0,0.4,25800000.0,6000000.0,25800000.0
20251124_180702,CLS:1000044159,G007,CLS:180000000000000003102175:4:0,99999999999.0,0.9,9999999999.899998,6000000.0,9999999999.899998
20251124_180702,CLS:1000044159,G007,CLS:180000000000000003102175:3:0,99999999999.0,0.9,9999999999.899998,6000000.0,9999999999.899998
20251124_180702,CLS:1000044159,P001,CLS:180000000000000003102175:2:1,44000000.0,0.4,26400000.0,6000000.0,26400000.0
20251124_180702,CLS:1000637824,P001,CLS:180000000000000003306154:1:1,3067566.0,0.4,1840539.5999999999,1952305.22,1840539.5999999999
20251124_180702,CLS:1000643202,O010,CLS:180000000000000003306019:6:0,3180660.0,0.4,1908396.0,2570000.0,1908396.0
20251124_180702,CLS:1000648218,P001,CLS:180000000000000003310446:1:1,5360212.0,0.4,3216127.1999999997,2480582.13,3216127.1999999997
20251124_180702,CLS:1000648735,G007,CLS:180000000000000003310522:1:0,99999999999.0,0.9,9999999999.899998,700000.0,9999999999.899998
20251124_180702,CLS:1000648735,P001,CLS:180000000000000003310522:2:1,8130745.0,0.4,4878447.0,700000.0,4878447.0
