REGION_BRCH,PRODUCT_TYPE_BRCH,AS_OF_DT,ENTITY,SOURCE_SYSTEM,ACCT_ID,SCHED_ID,SCHED_START_DT,SCHED_END_DT,FIRST_DUE_DT,NOF_PMT,INSTL_FLAT_AMT,PMT_FREQ,PMT_INCR,PMT_TYP_CD,PMT_DAY,SKP_PMT_MTH,REC_REF_DT
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016446591,B02A,24AUG2022:00:00:00,30MAY2025:00:00:00,30MAY2025:00:00:00,1,100000.0,M,1,P,30,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016439358,B01A,31DEC2024:00:00:00,28JAN2025:00:00:00,28JAN2025:00:00:00,1,0.0,M,1,I,28,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016439358,B01A,29JAN2025:00:00:00,30APR2025:00:00:00,30APR2025:00:00:00,1,0.0,M,1,I,30,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016439358,B02A,15JUL2022:00:00:00,30APR2025:00:00:00,30APR2025:00:00:00,1,500000.0,M,1,P,30,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016455469,B01A,28DEC2024:00:00:00,27JAN2025:00:00:00,27JAN2025:00:00:00,1,0.0,M,1,I,27,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016455469,B02A,05OCT2022:00:00:00,28JAN2025:00:00:00,28JAN2025:00:00:00,1,2000000.0,M,1,P,28,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016453138,B01A,31DEC2024:00:00:00,28JAN2025:00:00:00,28JAN2025:00:00:00,1,0.0,M,1,I,28,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016453138,B01A,29JAN2025:00:00:00,30SEP2025:00:00:00,30SEP2025:00:00:00,1,0.0,M,1,I,30,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016453138,B02A,23SEP2022:00:00:00,30SEP2025:00:00:00,30SEP2025:00:00:00,1,1284000.0,M,1,P,30,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016477705,B01A,24DEC2024:00:00:00,23JAN2025:00:00:00,23JAN2025:00:00:00,1,0.0,M,1,I,23,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016477705,B01A,24JAN2025:00:00:00,28JAN2025:00:00:00,28JAN2025:00:00:00,1,0.0,M,1,I,28,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016477705,B02A,01FEB2023:00:00:00,28JAN2025:00:00:00,28JAN2025:00:00:00,1,2000000.0,M,1,P,28,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016465464,B01A,31DEC2024:00:00:00,28JAN2025:00:00:00,28JAN2025:00:00:00,1,0.0,M,1,I,28,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016465464,B01A,29JAN2025:00:00:00,29AUG2025:00:00:00,29AUG2025:00:00:00,1,0.0,M,1,I,29,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016465464,B02A,30NOV2022:00:00:00,29AUG2025:00:00:00,29AUG2025:00:00:00,1,1800000.0,M,1,P,29,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016435808,B01A,31DEC2024:00:00:00,28JAN2025:00:00:00,28JAN2025:00:00:00,1,0.0,M,1,I,28,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016435808,B01A,29JAN2025:00:00:00,30JUN2025:00:00:00,30JUN2025:00:00:00,1,0.0,D,14,I,30,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016435808,B02A,30JUN2022:00:00:00,30JUN2025:00:00:00,30JUN2025:00:00:00,1,3400000.0,D,14,P,30,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016476806,B01A,31DEC2024:00:00:00,28JAN2025:00:00:00,28JAN2025:00:00:00,1,0.0,M,1,I,28,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016476806,B02A,27JAN2023:00:00:00,28FEB2025:00:00:00,28FEB2025:00:00:00,1,1750000.0,M,1,P,28,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016444139,B01A,31DEC2024:00:00:00,28JAN2025:00:00:00,28JAN2025:00:00:00,1,0.0,M,1,I,28,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016444139,B01A,29JAN2025:00:00:00,30MAY2025:00:00:00,30MAY2025:00:00:00,1,0.0,M,1,I,30,0,31DEC2024:00:00:00
