COLLATERAL_AGREEMENT_ID,FACILITY_NR,COLLATERAL_AGREEMENT_TYPE,COLLATERAL_AMOUNT,COLLATERAL_CURRENCY,AS_OF_DT,COMMIT_INDICATOR,CCF,DRAWN_AMOUNT,UNDRAWN_AMOUNT
CLS:180000000000000001018668:1:1,CLS:0001379874,P001,4948061,HKD,31DEC2024:00:00:00,Y,20.0,275747.17,0.0
CLS:180000000000000001018669:1:1,CLS:0001377699,P001,1043067,HKD,31DEC2024:00:00:00,Y,20.0,30375.88,0.0
CLS:180000000000000001018716:1:1,CLS:0001378105,P001,2209367,HKD,31DEC2024:00:00:00,Y,20.0,133925.64,0.0
CLS:180000000000000001018731:1:1,CLS:0001378905,P001,6098773,HKD,31DEC2024:00:00:00,Y,20.0,371057.06,0.0
CLS:180000000000000001018731:2:0,CLS:0001378905,G007,99999999999,HKD,31DEC2024:00:00:00,Y,20.0,371057.06,0.0
CLS:180000000000000001018748:1:1,CLS:0001385616,P001,5248797,HKD,31DEC2024:00:00:00,Y,20.0,317681.75,0.0
CLS:180000000000000001018778:1:1,CLS:0001381071,P002,8562003,HKD,31DEC2024:00:00:00,Y,20.0,0.0,0.0
CLS:180000000000000001018778:2:0,CLS:0001381071,G007,99999999999,HKD,31DEC2024:00:00:00,Y,20.0,0.0,0.0
CLS:180000000000000001018781:1:1,CLS:0001377489,P002,1400924,HKD,31DEC2024:00:00:00,Y,20.0,207882.82,0.0
CLS:180000000000000001018826:1:1,CLS:0001379651,P001,5983702,HKD,31DEC2024:00:00:00,Y,20.0,977014.59,0.0
CLS:180000000000000001018860:1:1,CLS:0001381829,P001,4027492,HKD,31DEC2024:00:00:00,Y,20.0,658402.19,0.0
CLS:180000000000000001018909:1:1,CLS:0001383491,P001,6531836,HKD,31DEC2024:00:00:00,Y,20.0,586594.85,0.0
CLS:180000000000000001019077:1:1,CLS:0001428068,P002,14284892,HKD,31DEC2024:00:00:00,Y,20.0,1210433.62,0.0
CLS:180000000000000001019138:1:1,CLS:0001385144,P001,5063132,HKD,31DEC2024:00:00:00,Y,20.0,964763.19,0.0
CLS:180000000000000001019138:2:0,CLS:0001385144,G007,99999999999,HKD,31DEC2024:00:00:00,Y,20.0,964763.19,0.0
CLS:180000000000000001019224:1:0,CLS:0001384123,G007,99999999999,HKD,31DEC2024:00:00:00,Y,20.0,0.0,0.0
CLS:180000000000000001019224:2:1,CLS:0001384123,P001,66108405,HKD,31DEC2024:00:00:00,Y,20.0,0.0,0.0
CLS:180000000000000001019237:1:0,CLS:0001385717,G007,99999999999,HKD,31DEC2024:00:00:00,Y,20.0,578609.15,0.0
CLS:180000000000000001019237:2:1,CLS:0001385717,P001,8747995,HKD,31DEC2024:00:00:00,Y,20.0,578609.15,0.0
CLS:180000000000000001019274:1:1,CLS:0001383593,P001,2853765,HKD,31DEC2024:00:00:00,Y,20.0,185129.98,0.0
CLS:180000000000000001019393:1:1,CLS:0001382486,P001,5136068,HKD,31DEC2024:00:00:00,Y,20.0,250548.31,0.0
CLS:180000000000000001019407:1:1,CLS:0001383692,P001,15649683,HKD,31DEC2024:00:00:00,Y,20.0,0.0,0.0
CLS:180000000000000001019431:1:1,CLS:0001382901,P001,5937674,HKD,31DEC2024:00:00:00,Y,20.0,335924.28,0.0
CLS:180000000000000001019520:1:0,CLS:0001384440,G007,99999999999,HKD,31DEC2024:00:00:00,Y,20.0,0.0,0.0
CLS:180000000000000001019520:2:1,CLS:0001384440,P001,103564082,HKD,31DEC2024:00:00:00,Y,20.0,0.0,0.0
CLS:180000000000000001019562:1:1,CLS:0001386998,P001,4224848,HKD,31DEC2024:00:00:00,Y,20.0,0.0,0.0
CLS:180000000000000001019924:1:1,CLS:0001390831,P001,7352922,HKD,31DEC2024:00:00:00,Y,20.0,954735.24,0.0
CLS:180000000000000001019948:1:1,CLS:0001390605,P001,2142738,HKD,31DEC2024:00:00:00,Y,20.0,155771.75,0.0
CLS:180000000000000001019961:1:1,CLS:0001391576,P001,14486773,HKD,31DEC2024:00:00:00,Y,20.0,852959.11,0.0
CLS:180000000000000001020110:1:1,CLS:0001394502,P001,2744339,HKD,31DEC2024:00:00:00,Y,20.0,184071.35,0.0
CLS:180000000000000001020161:1:1,CLS:0001390498,P001,11808350,HKD,31DEC2024:00:00:00,Y,20.0,94708.76,0.0
CLS:180000000000000001020177:1:1,CLS:0001394051,P001,57273174,HKD,31DEC2024:00:00:00,Y,20.0,9575484.66,0.0
CLS:180000000000000001020318:1:1,CLS:0001394504,P001,11953173,HKD,31DEC2024:00:00:00,Y,20.0,1243367.64,0.0
CLS:180000000000000001020375:1:1,CLS:0001395892,P001,4189528,HKD,31DEC2024:00:00:00,Y,20.0,1019540.13,0.0
CLS:180000000000000001020426:1:1,CLS:0001396420,P001,3049796,HKD,31DEC2024:00:00:00,Y,20.0,224853.89,0.0
CLS:180000000000000001020447:1:1,CLS:0001396421,P001,2744339,HKD,31DEC2024:00:00:00,Y,20.0,173531.73,0.0
