FACILITY_NR,COLLATERAL_AGREEMENT_TYPE,DRAWN_AMOUNT,AS_OF_DT,UNDRAWN_AMOUNT,COLLATERAL_AGREEMENT_ID,COLLATERAL_CURRENCY,COLLATERAL_VALUE_POST_HAIRCUT,EAD_POST_CCF,ALLOCATED_COLLATERAL_ON,ALLOCATED_COLLATERAL_OFF,ON_OFF_IND,CUR_BAL,DEAL_ID,CUR_RT,FAC_CUR_BAL,PORTION,DEAL_ALLOCATED_COLLATERAL_ON,DEAL_ALLOCATED_COLLATERAL_OFF
CLS:0001405155,G007,104489331.7,31DEC2024:00:00:00,95510668.3,CLS:180000000000000000101793:19:0,HKD,159999999998,171346799.51,7945853694.540963,5084152123.118057,N,326700.0,IMEX:894010911337:003:Finance:T/R::USD,6.70701,3036260.62,0.10759945896871,854969558.577133,0.0
CLS:0001405155,G007,104489331.7,31DEC2024:00:00:00,95510668.3,CLS:180000000000000000101793:19:0,HKD,159999999998,171346799.51,7945853694.540963,5084152123.118057,N,660825.0,IMEX:894010913530:001:Finance:T/R::USD,6.85858,3036260.62,0.21764436018670885,1729370243.4855647,0.0
CLS:0001405155,G007,104489331.7,31DEC2024:00:00:00,95510668.3,CLS:180000000000000000101793:19:0,HKD,159999999998,171346799.51,7945853694.540963,5084152123.118057,N,311850.0,IMEX:894010914414:004:Finance:T/R::USD,6.86482,3036260.62,0.10270857447013228,816107305.9145362,0.0
CLS:0001405155,G007,104489331.7,31DEC2024:00:00:00,95510668.3,CLS:180000000000000000101793:19:0,HKD,159999999998,171346799.51,7945853694.540963,5084152123.118057,N,760500.0,IMEX:894010915093:001:Finance:T/R::USD,6.70857,3036260.62,0.25047256977564725,1990218393.9329958,0.0
CLS:0001405155,G007,104489331.7,31DEC2024:00:00:00,95510668.3,CLS:180000000000000000101793:19:0,HKD,159999999998,171346799.51,7945853694.540963,5084152123.118057,N,96000.0,IMEX:894010915672:001:Finance:T/R::EUR,5.113,3036260.62,0.031617839182724705,251230724.28345513,0.0
CLS:0001405155,G007,104489331.7,31DEC2024:00:00:00,95510668.3,CLS:180000000000000000101793:19:0,HKD,159999999998,171346799.51,7945853694.540963,5084152123.118057,F,487265.62,IMEX:894010917073:ISS000:L/C:1121000000::USD,0.0,3036260.62,0.1604821459628192,1275167652.4065292,0.0
CLS:0001405155,G007,104489331.7,31DEC2024:00:00:00,95510668.3,CLS:180000000000000000101793:19:0,HKD,159999999998,171346799.51,7945853694.540963,5084152123.118057,F,393120.0,IMEX:894010918027:ISS000:L/C:1121000000::USD,0.0,3036260.62,0.12947505145325766,1028789815.9407487,0.0
CLS:0001405155,O009,208978663.4,31DEC2024:00:00:00,191021336.6,CLS:180000000000000000101793:1:0,HKD,4,342693599.02,0.19864634236600717,0.12710380307954025,N,326700.0,IMEX:894010911337:003:Finance:T/R::USD,6.70701,3036260.62,0.10759945896871,0.021374238964695508,0.0
CLS:0001405155,O009,208978663.4,31DEC2024:00:00:00,191021336.6,CLS:180000000000000000101793:1:0,HKD,4,342693599.02,0.19864634236600717,0.12710380307954025,N,660825.0,IMEX:894010913530:001:Finance:T/R::USD,6.85858,3036260.62,0.21764436018670885,0.04323425608767955,0.0
CLS:0001405155,O009,208978663.4,31DEC2024:00:00:00,191021336.6,CLS:180000000000000000101793:1:0,HKD,4,342693599.02,0.19864634236600717,0.12710380307954025,N,311850.0,IMEX:894010914414:004:Finance:T/R::USD,6.86482,3036260.62,0.10270857447013228,0.02040268264811844,0.0
